source;target;weight
FST;DARS;2
FST;SI-POL;2
SZ;SI-POL;2
SZ;DARS;2
DARS;FST;2
DARS;SZ;2
DARS;SI-POL;2
SI-POL;FST;2
SI-POL;SZ;2
SI-POL;DARS;2
