source;target;weight
DARS;SI-POL;5
SI-POL;FST;5
SI-POL;MDI;5
SI-POL;SZ;5
SI-POL;IRO;5
SI-POL;DARS;5
FST;MDI;5
FST;SI-POL;5
MDI;FST;5
MDI;SI-POL;5
MDI;SZ;5
MDI;IRO;5
MDI;DARS;5
CTIP;ROC;
CTIP;RIO;
SB;ROC;
